"Official name (known as)","Location","Country","No. of ODIs"
"Melbourne Cricket Ground (MCG)","Melbourne, Victoria","Australia","144"
"Old Trafford Cricket Ground (Old Trafford)","Manchester, Greater Manchester","England","42"
"Lord's Cricket Ground (Lord's)","St. John's Wood, London","England","56"
"County Cricket Ground (Edgbaston)","Birmingham, West Midlands","England","51"
"AMI Stadium (formerly Jade Stadium and Lancaster Park)","Christchurch, Canterbury","New Zealand","48"
"St Helen's","Swansea, West Glamorgan","Wales","2"
"Headingley Stadium (Headingley)","Leeds, West Yorkshire","England","36"
"The Oval Cricket Ground (The Oval)","Kennington, London","England","57"
"Carisbrook","Dunedin, Otago","New Zealand","21"
"Trent Bridge Ground (Trent Bridge)","Nottingham, Nottinghamshire","England","38"
"Basin Reserve (The Basin)","Wellington","New Zealand","26"
"Adelaide Oval","Adelaide, South Australia","Australia","81"
"Eden Park No. 1 (Eden Park)","Auckland","New Zealand","72"
"North Marine Road Ground (The Pavilion)","Scarborough, North Yorkshire","England","2"
"Jinnah Stadium (Sialkot Stadium)","Sialkot, Punjab","Pakistan","9"
"Albion Sports Complex","Albion, Berbice, Guyana (West Indies)","Guyana","5"
"Zafar Ali Stadium (Sahiwal Stadium)","Sahiwal, Punjab","Pakistan","2"
"Gaddafi Stadium (Lahore Stadium)","Lahore, Punjab","Pakistan","58"
"Antigua Recreation Ground (The Rec)","St. John's, Antigua and Barbuda (West Indies)","Antigua and Barbuda","11"
"Mindoo Phillip Park (Victoria Park)","Castries, Saint Lucia (West Indies)","Saint Lucia","2"
"Ayub National Stadium (Baluchistan CA Ground)","Quetta, Balochistan","Pakistan","2"
"Sydney Cricket Ground (SCG)","Sydney, New South Wales","Australia","151"
"Brisbane Cricket Ground (The Gabba)","Brisbane, Queensland","Australia","75"
"National Stadium","Karachi, Sindh","Pakistan","46"
"Western Australian Cricket Association Ground (The WACA)","Perth, Western Australia","Australia","78"
"The Playing Fields (Arnos Vale)","Kingstown, Saint Vincent and the Grenadines (West Indies)","Saint Vincent and the Grenadines","23"
"Seddon Park","Hamilton, Waikato","New Zealand","27"
"Sardar Vallabhbhai Patel Stadium","Ahmedabad, Gujarat","India","1"
"Gandhi Stadium","Jalandhar, Punjab","India","3"
"Barabati Stadium","Cuttack, Odisha","India","17"
"Sinhalese Sports Club Ground (SSC)","Colombo, Western Province","Sri Lanka","59"
"Gandhi Sports Complex Ground (Alexandra Ground)","Amritsar, Punjab","India","2"
"Feroz Shah Kotla Ground (Kotla)","New Delhi, Delhi","India","23"
"Niaz Stadium","Hyderabad, Sindh","Pakistan","7"
"M. Chinnaswamy Stadium (Chinnaswamy Stadium)","Bangalore, Karnataka","India","24"
"Jinnah Stadium (Municipal Stadium)","Gujranwala, Punjab","Pakistan","11"
"Ibn-e-Qasim Bagh Stadium","Multan, Punjab","Pakistan","6"
"Queen's Park Oval","Port of Spain, Trinidad and Tobago (West Indies)","Trinidad and Tobago","65"
"McLean Park","Napier, Hawke's Bay","New Zealand","42"
"Queen's Park (Old)","St George's, Grenada (West Indies)","Grenada","1"
"Paikiasothy Saravanamuttu Stadium (Saravanamuttu Stadium)","Colombo, Western Province","Sri Lanka","12"
"County Ground (formerly Athletic Ground)","Taunton, Somerset","England","3"
"Grace Road","Leicester, Leicestershire","England","3"
"County Ground (formerly Ashley Down/Fry's/Phoenix/Royal Sun & Alliance Ground)","Bristol, County of Bristol","England","13"
"County Ground (New Road)","Worcester, Worcestershire","England","3"
"County Ground","Southampton, Hampshire","England","3"
"Nevill Ground","Tunbridge Wells, Kent","England","1"
"County Ground (Racecourse Ground)","Derby, Derbyshire","England","2"
"The Ford County Ground","Chelmsford, Essex","England","3"
"Lal Bahadur Shastri Stadium (Fateh Maidan)","Hyderabad, Telangana","India","14"
"Sawai Mansingh Stadium","Jaipur, Rajasthan","India","19"
"Sher-i-Kashmir Stadium","Srinagar, Jammu and Kashmir","India","2"
"Moti Bagh Stadium (formerly Motibaug Palace Ground)","Vadodara, Gujarat","India","3"
"Nehru Stadium","Indore, Madhya Pradesh","India","9"
"Keenan Stadium","Jamshedpur, Jharkhand","India","10"
"Nehru Stadium","Guwahati, Assam","India","14"
"Tyronne Fernando Stadium (Fernando Stadium)","Moratuwa, Western Province","Sri Lanka","6"
"Sharjah Cricket Stadium (Sharjah)","Sharjah, United Arab Emirates","United Arab Emirates","219"
"Sabina Park (Bina)","Kingston, Jamaica (West Indies)","Jamaica","37"
"Jawaharlal Nehru Stadium","New Delhi, Delhi","India","2"
"University Stadium","Trivandrum, Kerala","India","2"
"Sardar Patel Stadium (Motera)","Ahmedabad, Gujarat","India","23"
"Arbab Niaz Stadium","Peshawar, Khyber Pakhtunkhwa","Pakistan","15"
"Iqbal Stadium","Faisalabad, Punjab","Pakistan","16"
"Nehru Stadium (formerly Club of Maharashtra","Pune, Maharashtra","India","11"
"Tasmania Cricket Association Ground","Hobart, Tasmania","Australia","1"
"Vidarbha Cricket Association Ground (VCA, Nagpur)","Nagpur, Maharashtra","India","14"
"Sector 16 Stadium","Chandigarh, Chandigarh","India","5"
"Kensington Oval (The Mecca)","Bridgetown, Barbados (West Indies)","Barbados","30"
"Pindi Club Ground (Army Sports Ground)","Rawalpindi, Punjab","Pakistan","2"
"North Tasmania Cricket Association Ground","Launceston, Tasmania","Australia","1"
"Asgiriya Stadium","Kandy, Central Province","Sri Lanka","6"
"Ranasinghe Premadasa Stadium (formerly Khetterama Stadium)","Colombo, Western Province","Sri Lanka","116"
"Madhavrao Scindia Cricket Ground (formerly Racecourse/Corporation Ground/Municipal Stadium)","Rajkot, Saurashtra","India","12"
"Modi Stadium (formerly Green Park/British India Corporation Ground)","Kanpur, Uttar Pradesh","India","13"
"Wankhede Stadium","Mumbai, Maharashtra","India","19"
"Formby Recreation Ground (Devonport Oval)","Devonport, Tasmania","Australia","1"
"Eden Gardens","Kolkata, West Bengal","India","28"
"M. A. Chidambaram Stadium (Chepauk)","Chennai, Tamil Nadu","India","20"
"Bellerive Oval","Hobart, Tasmania","Australia","35"
"Nahar Singh Stadium (formerly Mayur Stadium)","Faridabad, Haryana","India","8"
"Captain Roop Singh Stadium","Gwalior, Madhya Pradesh","India","12"
"Bourda","Georgetown, Guyana (West Indies)","Guyana","11"
"MA Aziz Stadium","Chittagong, Chittagong Division"," Bangladesh","10"
"Bangabandhu National Stadium (Number 1 Dhaka Stadium)","Dhaka, Dhaka Division"," Bangladesh","58"
"Indira Priyadarshini Stadium (Municipal Corporation Vizag Stadium)","Visakhapatnam, Andhra Pradesh","India","5"
"Brabourne Stadium","Mumbai, Maharashtra","India","8"
"Nehru Stadium (Pandit Jawaharlal Nehru Stadium)","Fatorda, Margao, Goa","India","7"
