"file_id","city","date","team1","team2","toss_winner","toss_decision","result","win_team"
"225171","Belfast","[datetime.date(2006, 6, 13)]","Ireland","England","England","bat","","England"
"225245","Cardiff","[datetime.date(2006, 8, 30)]","England","Pakistan","Pakistan","field","no result",""
"225246","London","[datetime.date(2006, 9, 2)]","England","Pakistan","Pakistan","field","","Pakistan"
"225247","Southampton","[datetime.date(2006, 9, 5)]","England","Pakistan","Pakistan","field","","Pakistan"
"225248","Nottingham","[datetime.date(2006, 9, 8)]","England","Pakistan","Pakistan","bat","","England"
"225249","Birmingham","[datetime.date(2006, 9, 10)]","England","Pakistan","England","field","","England"
"225250","London","[datetime.date(2006, 6, 17)]","England","Sri Lanka","England","field","","Sri Lanka"
"225251","London","[datetime.date(2006, 6, 20)]","England","Sri Lanka","Sri Lanka","bat","","Sri Lanka"
"225252","Chester-le-Street","[datetime.date(2006, 6, 24)]","England","Sri Lanka","England","bat","","Sri Lanka"
"225253","Manchester","[datetime.date(2006, 6, 28)]","England","Sri Lanka","Sri Lanka","bat","","Sri Lanka"
"225254","Leeds","[datetime.date(2006, 7, 1)]","England","Sri Lanka","England","bat","","Sri Lanka"
"239917","St Kitts","[datetime.date(2006, 5, 23)]","West Indies","India","India","bat","","West Indies"
"239918","Trinidad","[datetime.date(2006, 5, 26)]","West Indies","India","West Indies","field","","West Indies"
"239919","Trinidad","[datetime.date(2006, 5, 28)]","West Indies","India","India","field","","West Indies"
"247457","Jamaica","[datetime.date(2007, 3, 13)]","West Indies","Pakistan","Pakistan","field","","West Indies"
"247458","St Kitts","[datetime.date(2007, 3, 14)]","Australia","Scotland","Scotland","field","","Australia"
"247460","Trinidad","[datetime.date(2007, 3, 15)]","Bermuda","Sri Lanka","Sri Lanka","bat","","Sri Lanka"
"247461","Jamaica","[datetime.date(2007, 3, 15)]","Ireland","Zimbabwe","Zimbabwe","field","tie",""
"247462","St Kitts","[datetime.date(2007, 3, 16)]","Netherlands","South Africa","Netherlands","field","","South Africa"
"247463","St Lucia","[datetime.date(2007, 3, 16)]","England","New Zealand","New Zealand","field","","New Zealand"
"247464","Trinidad","[datetime.date(2007, 3, 17)]","Bangladesh","India","India","bat","","Bangladesh"
"247465","Jamaica","[datetime.date(2007, 3, 17)]","Ireland","Pakistan","Ireland","field","","Ireland"
"247466","St Kitts","[datetime.date(2007, 3, 18)]","Australia","Netherlands","Australia","bat","","Australia"
"247467","St Lucia","[datetime.date(2007, 3, 18)]","Canada","England","Canada","field","","England"
"247468","Trinidad","[datetime.date(2007, 3, 19)]","Bermuda","India","Bermuda","field","","India"
"247469","Jamaica","[datetime.date(2007, 3, 19)]","West Indies","Zimbabwe","West Indies","field","","West Indies"
"247470","St Kitts","[datetime.date(2007, 3, 20)]","Scotland","South Africa","South Africa","field","","South Africa"
"247471","St Lucia","[datetime.date(2007, 3, 20)]","Kenya","New Zealand","Kenya","field","","New Zealand"
"247472","Trinidad","[datetime.date(2007, 3, 21)]","Bangladesh","Sri Lanka","Bangladesh","field","","Sri Lanka"
"247473","Jamaica","[datetime.date(2007, 3, 21)]","Pakistan","Zimbabwe","Zimbabwe","field","","Pakistan"
"247474","St Kitts","[datetime.date(2007, 3, 22)]","Netherlands","Scotland","Netherlands","field","","Netherlands"
"247475","St Lucia","[datetime.date(2007, 3, 22)]","Canada","New Zealand","Canada","field","","New Zealand"
"247476","Trinidad","[datetime.date(2007, 3, 23)]","India","Sri Lanka","India","field","","Sri Lanka"
"247477","Jamaica","[datetime.date(2007, 3, 23)]","West Indies","Ireland","Ireland","bat","","West Indies"
"247478","St Kitts","[datetime.date(2007, 3, 24)]","Australia","South Africa","South Africa","field","","Australia"
"247479","St Lucia","[datetime.date(2007, 3, 24)]","England","Kenya","Kenya","bat","","England"
"247480","Trinidad","[datetime.date(2007, 3, 25)]","Bangladesh","Bermuda","Bangladesh","field","","Bangladesh"
"247481","Antigua","[datetime.date(2007, 3, 27), datetime.date(2007, 3, 28)]","West Indies","Australia","West Indies","field","","Australia"
"247482","Guyana","[datetime.date(2007, 3, 28)]","South Africa","Sri Lanka","Sri Lanka","bat","","South Africa"
"247483","Antigua","[datetime.date(2007, 3, 29)]","West Indies","New Zealand","New Zealand","field","","New Zealand"
"247484","Guyana","[datetime.date(2007, 3, 30)]","England","Ireland","England","bat","","England"
"247485","Antigua","[datetime.date(2007, 3, 31)]","Australia","Bangladesh","Australia","field","","Australia"
"247486","Guyana","[datetime.date(2007, 4, 1)]","West Indies","Sri Lanka","West Indies","field","","Sri Lanka"
"247487","Antigua","[datetime.date(2007, 4, 2)]","Bangladesh","New Zealand","New Zealand","field","","New Zealand"
"247488","Guyana","[datetime.date(2007, 4, 3)]","Ireland","South Africa","South Africa","field","","South Africa"
"247489","Antigua","[datetime.date(2007, 4, 4)]","England","Sri Lanka","England","field","","Sri Lanka"
"247490","Guyana","[datetime.date(2007, 4, 7)]","Bangladesh","South Africa","South Africa","field","","Bangladesh"
"247491","Antigua","[datetime.date(2007, 4, 8)]","Australia","England","England","bat","","Australia"
"247492","Guyana","[datetime.date(2007, 4, 9)]","Ireland","New Zealand","New Zealand","bat","","New Zealand"
"247493","Grenada","[datetime.date(2007, 4, 10)]","West Indies","South Africa","West Indies","field","","South Africa"
"247494","Barbados","[datetime.date(2007, 4, 11)]","Bangladesh","England","England","field","","England"
"247495","Grenada","[datetime.date(2007, 4, 12)]","New Zealand","Sri Lanka","New Zealand","bat","","Sri Lanka"
"247496","Barbados","[datetime.date(2007, 4, 13)]","Australia","Ireland","Australia","field","","Australia"
"247497","Grenada","[datetime.date(2007, 4, 14)]","New Zealand","South Africa","New Zealand","field","","New Zealand"
"247498","Barbados","[datetime.date(2007, 4, 15)]","Bangladesh","Ireland","Ireland","bat","","Ireland"
"247499","Grenada","[datetime.date(2007, 4, 16)]","Australia","Sri Lanka","Sri Lanka","bat","","Australia"
"247500","Barbados","[datetime.date(2007, 4, 17)]","England","South Africa","England","bat","","South Africa"
"247501","Grenada","[datetime.date(2007, 4, 18)]","Ireland","Sri Lanka","Sri Lanka","field","","Sri Lanka"
"247502","Barbados","[datetime.date(2007, 4, 19)]","West Indies","Bangladesh","Bangladesh","field","","West Indies"
"247503","Grenada","[datetime.date(2007, 4, 20)]","Australia","New Zealand","Australia","bat","","Australia"
"247504","Barbados","[datetime.date(2007, 4, 21)]","West Indies","England","England","field","","England"
"247505","Jamaica","[datetime.date(2007, 4, 24)]","New Zealand","Sri Lanka","Sri Lanka","bat","","Sri Lanka"
"247506","St Lucia","[datetime.date(2007, 4, 25)]","Australia","South Africa","South Africa","bat","","Australia"
"247507","Barbados","[datetime.date(2007, 4, 28)]","Australia","Sri Lanka","Australia","bat","","Australia"
"249207","","[datetime.date(2006, 8, 6)]","Zimbabwe","Bangladesh","Zimbabwe","bat","","Bangladesh"
"249211","Durban","[datetime.date(2006, 11, 22)]","South Africa","India","South Africa","bat","","South Africa"
"249212","Cape Town","[datetime.date(2006, 11, 26)]","South Africa","India","South Africa","bat","","South Africa"
"249213","Port Elizabeth","[datetime.date(2006, 11, 29)]","South Africa","India","South Africa","bat","","South Africa"
"249214","Centurion","[datetime.date(2006, 12, 3)]","South Africa","India","South Africa","field","","South Africa"
"249228","Hobart","[datetime.date(2007, 1, 14)]","Australia","New Zealand","Australia","bat","","Australia"
"249229","","[datetime.date(2007, 1, 21)]","Australia","New Zealand","New Zealand","bat","","Australia"
"249230","Perth","[datetime.date(2007, 1, 28)]","Australia","New Zealand","Australia","bat","","Australia"
"249231","","[datetime.date(2007, 2, 4)]","Australia","New Zealand","New Zealand","bat","","Australia"
"249232","","[datetime.date(2007, 1, 12)]","Australia","England","England","bat","","Australia"
"249233","Brisbane","[datetime.date(2007, 1, 19)]","Australia","England","England","bat","","Australia"
"249234","","[datetime.date(2007, 1, 26)]","Australia","England","England","bat","","Australia"
"249235","","[datetime.date(2007, 2, 2)]","Australia","England","England","bat","","England"
"249236","Hobart","[datetime.date(2007, 1, 16)]","England","New Zealand","New Zealand","bat","","England"
"249237","","[datetime.date(2007, 1, 23)]","England","New Zealand","New Zealand","bat","","New Zealand"
"249238","Perth","[datetime.date(2007, 1, 30)]","England","New Zealand","New Zealand","bat","","New Zealand"
"249239","Brisbane","[datetime.date(2007, 2, 6)]","England","New Zealand","England","bat","","England"
"249240","","[datetime.date(2007, 2, 9)]","Australia","England","Australia","bat","","England"
"249241","","[datetime.date(2007, 2, 11)]","Australia","England","England","bat","","England"
"249378","Nairobi","[datetime.date(2006, 8, 12)]","Kenya","Bangladesh","Bangladesh","field","","Bangladesh"
"249379","Nairobi","[datetime.date(2006, 8, 13)]","Kenya","Bangladesh","Kenya","bat","","Bangladesh"
"249380","Nairobi","[datetime.date(2006, 8, 15)]","Kenya","Bangladesh","Bangladesh","field","","Bangladesh"
"249739","Chandigarh","[datetime.date(2006, 10, 7)]","Bangladesh","Sri Lanka","Bangladesh","field","","Sri Lanka"
"249740","Ahmedabad","[datetime.date(2006, 10, 8)]","West Indies","Zimbabwe","Zimbabwe","bat","","West Indies"
"249741","Ahmedabad","[datetime.date(2006, 10, 10)]","Sri Lanka","Zimbabwe","Sri Lanka","bat","","Sri Lanka"
"249742","Jaipur","[datetime.date(2006, 10, 11)]","Bangladesh","West Indies","Bangladesh","bat","","West Indies"
"249743","Jaipur","[datetime.date(2006, 10, 13)]","Bangladesh","Zimbabwe","Zimbabwe","field","","Bangladesh"
"249744","Mumbai","[datetime.date(2006, 10, 14)]","Sri Lanka","West Indies","West Indies","bat","","Sri Lanka"
"249745","Jaipur","[datetime.date(2006, 10, 15)]","India","England","India","field","","India"
"249746","Mumbai","[datetime.date(2006, 10, 16)]","New Zealand","South Africa","South Africa","field","","New Zealand"
"249747","Jaipur","[datetime.date(2006, 10, 17)]","Pakistan","Sri Lanka","Sri Lanka","bat","","Pakistan"
"249748","Mumbai","[datetime.date(2006, 10, 18)]","Australia","West Indies","West Indies","bat","","West Indies"
"249749","Mumbai","[datetime.date(2006, 10, 20)]","New Zealand","Sri Lanka","New Zealand","bat","","Sri Lanka"
"249750","Jaipur","[datetime.date(2006, 10, 21)]","Australia","England","Australia","field","","Australia"
"249751","Ahmedabad","[datetime.date(2006, 10, 24)]","South Africa","Sri Lanka","Sri Lanka","field","","South Africa"
"249752","Chandigarh","[datetime.date(2006, 10, 25)]","New Zealand","Pakistan","Pakistan","field","","New Zealand"
"249753","Ahmedabad","[datetime.date(2006, 10, 26)]","India","West Indies","West Indies","field","","West Indies"
"249754","Chandigarh","[datetime.date(2006, 10, 27)]","Pakistan","South Africa","South Africa","bat","","South Africa"
"249755","Ahmedabad","[datetime.date(2006, 10, 28)]","England","West Indies","West Indies","bat","","England"
"249756","Chandigarh","[datetime.date(2006, 10, 29)]","India","Australia","India","bat","","Australia"
"249757","Chandigarh","[datetime.date(2006, 11, 1)]","Australia","New Zealand","New Zealand","field","","Australia"
"249758","Jaipur","[datetime.date(2006, 11, 2)]","South Africa","West Indies","South Africa","bat","","West Indies"
"249759","Mumbai","[datetime.date(2006, 11, 5)]","Australia","West Indies","West Indies","bat","","Australia"
"250668","Centurion","[datetime.date(2007, 2, 4)]","South Africa","Pakistan","Pakistan","field","","South Africa"
"250669","Durban","[datetime.date(2007, 2, 7)]","South Africa","Pakistan","Pakistan","bat","","Pakistan"
"250670","Port Elizabeth","[datetime.date(2007, 2, 9)]","South Africa","Pakistan","Pakistan","bat","no result",""
"250671","Cape Town","[datetime.date(2007, 2, 11)]","South Africa","Pakistan","South Africa","field","","South Africa"
"250672","Johannesburg","[datetime.date(2007, 2, 14)]","South Africa","Pakistan","Pakistan","bat","","South Africa"
"251489","Napier","[datetime.date(2006, 12, 28)]","New Zealand","Sri Lanka","New Zealand","bat","","Sri Lanka"
"251491","Christchurch","[datetime.date(2007, 1, 2)]","New Zealand","Sri Lanka","New Zealand","field","","New Zealand"
"251492","Auckland","[datetime.date(2007, 1, 6)]","New Zealand","Sri Lanka","Sri Lanka","bat","","Sri Lanka"
"251494","Wellington","[datetime.date(2007, 2, 16)]","New Zealand","Australia","New Zealand","field","","New Zealand"
"251495","Auckland","[datetime.date(2007, 2, 18)]","New Zealand","Australia","New Zealand","field","","New Zealand"
"251496","Hamilton","[datetime.date(2007, 2, 20)]","New Zealand","Australia","Australia","bat","","New Zealand"
"255961","Bloemfontein","[datetime.date(2006, 9, 15)]","South Africa","Zimbabwe","Zimbabwe","bat","","South Africa"
"256607","Kuala Lumpur","[datetime.date(2006, 9, 14)]","India","West Indies","India","bat","","West Indies"
"256608","Kuala Lumpur","[datetime.date(2006, 9, 16)]","Australia","India","Australia","bat","no result",""
"256610","Kuala Lumpur","[datetime.date(2006, 9, 18)]","Australia","West Indies","Australia","bat","","West Indies"
"256612","Kuala Lumpur","[datetime.date(2006, 9, 20)]","India","West Indies","India","bat","","India"
"256614","Kuala Lumpur","[datetime.date(2006, 9, 22)]","Australia","India","Australia","bat","","Australia"
"256615","Kuala Lumpur","[datetime.date(2006, 9, 24)]","Australia","West Indies","Australia","bat","","Australia"
"256665","Colombo","[datetime.date(2006, 8, 18), datetime.date(2006, 8, 19)]","Sri Lanka","India","India","bat","no result",""
"257470","Potchefstroom","[datetime.date(2006, 9, 20)]","South Africa","Zimbabwe","South Africa","bat","","South Africa"
"257769","Faisalabad","[datetime.date(2006, 12, 7)]","Pakistan","West Indies","Pakistan","field","","Pakistan"
"257770","Lahore","[datetime.date(2006, 12, 10)]","Pakistan","West Indies","Pakistan","field","","Pakistan"
"257771","","[datetime.date(2006, 12, 13)]","Pakistan","West Indies","Pakistan","bat","","West Indies"
"257772","Karachi","[datetime.date(2006, 12, 16)]","Pakistan","West Indies","Pakistan","field","","Pakistan"
"258465","London","[datetime.date(2007, 7, 1)]","England","West Indies","West Indies","field","","England"
"258466","Birmingham","[datetime.date(2007, 7, 4)]","England","West Indies","England","field","","West Indies"
"258467","Nottingham","[datetime.date(2007, 7, 7)]","England","West Indies","West Indies","bat","","West Indies"
